collage,Player,id,height,weight,born,birth_city,birth_state
Indiana University,Curly Armstrong,0,180,77,1918,,
University of Kentucky,Cliff Barker,1,188,83,1921,Yorktown,Indiana
University of Notre Dame,Leo Barnhorst,2,193,86,1924,,
North Carolina State University,Ed Bartels,3,196,88,1925,,
University of Kentucky,Ralph Beard,4,178,79,1927,Hardinsburg,Kentucky
Marquette University,Gene Berce,5,180,79,1926,,
University of Kansas,Charlie Black,6,196,90,1921,Arco,Idaho
Temple University,Nelson Bobb,7,183,77,1924,Philadelphia,Pennsylvania
Muhlenberg College,Jake Bornheimer,8,196,90,1927,New Brunswick,New Jersey
University of Denver,Vince Boryla,9,196,95,1927,East Chicago,Indiana
Western Michigan University,Don Boven,10,193,95,1925,Kalamazoo,Michigan
St. John's University,Harry Boykoff,11,208,102,1922,Brooklyn,New York
Oklahoma State University,Joe Bradley,12,190,79,1928,Washington,Oklahoma
Michigan State University,Bob Brannum,13,196,97,1925,,
Colgate University,Carl Braun,14,196,81,1927,Brooklyn,New York
Louisiana State University,Frankie Brian,15,185,81,1923,Zachary,Louisiana
West Texas A&M University,Price Brookfield,16,193,83,1920,Floydada,Texas
Miami University,Bob Brown,17,193,92,1923,Versailles,Ohio
,Jim Browne,18,208,106,1930,Midlothian,Illinois
Columbia University,Walt Budko,19,196,99,1925,Kearney,New Jersey
University of Illinois at Urbana-Champaign,Jack Burmaster,20,190,86,1926,,
Seton Hall University,Tommy Byrnes,21,190,79,1923,Teaneck,New Jersey
City College of San Francisco,Bill Calhoun,22,190,81,1927,San Francisco,California
University of Minnesota,Don Carlson,23,183,77,1919,Minneapolis,Minnesota
East Texas State University,Bob Carpenter,24,196,90,1917,,
East Texas State University,Jake Carter,25,193,88,1924,,
,Al Cervi*,26,180,77,1917,Buffalo,New York
Louisiana State University,John Chaney,27,190,83,1920,,
Canisius College,Leroy Chollet,28,188,86,1925,New Orleans,Louisiana
Rice University,Bill Closs,29,196,88,1922,Edge,Texas
University of Wisconsin,Paul Cloyd,30,188,81,1920,,
University of Louisville,Jack Coleman,31,201,88,1924,Burgin,Kentucky
University of Wisconsin,Bobby Cook,32,178,70,1923,,
Georgetown University,Ray Corley,33,183,81,1928,,
University of Wyoming,Jack Cotton,34,201,90,1924,Miles City,Montana
Western Michigan University,Dillard Crocker,35,193,92,1925,Coffee County,Tennessee
University of Pennsylvania,Chink Crossin,36,185,74,1923,Luzerne,Pennsylvania
University of Notre Dame,Fran Curran,37,183,79,1922,Sterling,Illinois
University of Denver,Jimmy Darden,38,185,77,1922,,
Seton Hall University,Bob Davies*,39,185,79,1920,Harrisburg,Pennsylvania
University of North Carolina,Hook Dillon,40,190,81,1924,Savannah,Georgia
Truman State University,Earl Dodd,41,196,79,1924,,
New York University,Joe Dolhon,42,183,79,1927,,
University of Colorado,Bob Doll,43,196,88,1919,Steamboat Springs,Colorado
Muhlenberg College,Harry Donovan,44,188,81,1926,Union City,New Jersey
College of William & Mary,Andy Duncan,45,198,88,1922,,
University of Illinois at Urbana-Champaign,Dike Eddleman,46,190,85,1922,Centralia,Illinois
University of Wisconsin,Gene Englund,47,196,92,1917,Kenosha,Wisconsin
Butler University,Bob Evans,48,188,79,1925,Indianapolis,Indiana
University of Rhode Island,Johnny Ezersky,49,190,79,1922,New York,New York
Santa Clara University,Bob Feerick,50,190,86,1920,San Francisco,California
University of Kentucky,George Feigenbaum,51,185,83,1929,,
University of Utah,Arnie Ferrin,52,188,81,1925,Salt Lake City,Utah
New York University,Jerry Fleishman,53,188,86,1922,Brooklyn,New York
Murray State University,Joe Fulks*,54,196,86,1921,Birmingham,Kentucky
Syracuse University,Bill Gabor,55,180,77,1922,,
DePaul University,Elmer Gainer,56,198,88,1918,Chicago,Illinois
Truman State University,Harry Gallatin*,57,198,95,1927,Roxana,Illinois
University of Utah,Vern Gardner,58,196,90,1925,Afton,Wyoming
Sam Houston State University,Frank Gates,59,183,72,1920,,
Western Kentucky University,Dee Gibson,60,180,79,1923,,
Creighton University,Hoot Gibson,61,196,89,1921,,
University of Washington,Chuck Gilmur,62,193,102,1922,,
Loyola Marymount University,Normie Glick,63,201,86,1927,,
University of Notre Dame,Paul Gordon,64,190,83,1927,,
,Joe Graboski,65,201,88,1930,,
University of Minnesota,Bud Grant,66,190,88,1927,Superior,Wisconsin
Ohio State University,Don Grate,67,188,83,1923,Greenfield,Ohio
University of Kentucky,Alex Groza,68,201,98,1926,Martins Ferry,Ohio
Saint Joseph's University,Al Guokas,69,196,90,1925,,
North Carolina State University,Robert Hahn,70,208,108,1925,,
West Texas A&M University,Chick Halbert,71,206,102,1919,Albany,Texas
Santa Clara University,Bruce Hale,72,185,77,1918,Medford,Oregon
Franklin College,Dale Hamilton,73,183,81,1919,,
University of Southern California,Alex Hannum*,74,201,95,1923,Los Angeles,California
University of Texas at Austin,John Hargis,75,188,81,1920,Nacogdoches,Texas
Oklahoma State University,Bob Harris,76,201,88,1927,Linden,Tennessee
Oklahoma State University,Bob Harrison,77,201,88,1927,Linden,Tennessee
University of Notre Dame,Billy Hassett,78,180,81,1921,,
University of Tennessee,Marshall Hawkins,79,190,92,1924,Huntington,West Virginia
Rice University,Bill Henry,80,206,97,1924,Dallas,Texas
Mount Union College,Bill Herman,81,190,77,1924,,
University of Minnesota,Kleggie Hermsen,82,206,102,1923,Hill City,Minnesota
City College of New York,Sonny Hertzberg,83,178,79,1922,Brooklyn,New York
Purdue University,Paul Hoffman,84,188,88,1925,,
University of Kentucky,Joe Holland,85,193,83,1925,,
City College of New York,Red Holzman*,86,178,79,1920,Brooklyn,New York
Marshall University,Gene James,87,193,81,1925,Ironton,Ohio
Seton Hall University,Howie Janotta,88,190,83,1924,,
University of Minnesota,Tony Jaros,89,190,83,1920,Minneapolis,Minnesota
Washington & Jefferson College,Buddy Jeannette*,90,180,79,1917,New Kensington,Pennsylvania
Bemidji State University,Arnie Johnson,91,196,107,1920,Gonvick,Minnesota
Huntington University,Ralph Johnson,92,180,77,1921,,
,Wah Wah,93,180,77,1921,,
University of Iowa,Noble Jorgensen,94,206,103,1925,,
College of the Holy Cross,George Kaftan,95,190,86,1928,New York,New York
North Carolina State University,Leo Katkaveck,96,183,83,1923,,
Loyola University of Chicago,Jack Kerris,97,198,97,1925,,
Rice University,Bob Kinney,98,198,97,1920,Fort Scott,Kansas
University of Illinois at Urbana-Champaign,Walt Kirk,99,190,78,1924,Mount Vernon,Illinois
University of Notre Dame,Leo Klier,100,188,77,1923,Washington,Indiana
Indiana State University,Duane Klueh,101,190,79,1926,Bottineau,North Dakota
University of Detroit Mercy,Lee Knorek,102,201,97,1921,Warsaw,Poland
University of Wyoming,Milo Komenich,103,201,96,1920,,
Bowling Green State University,Leo Kubiak,104,180,72,1927,,
Saint Mary's College of California,Frank Kudelka,105,188,87,1925,,
University of Wisconsin,Walt Lautenbach,106,188,83,1922,,
Yale University,Tony Lavelli,107,190,83,1926,Somerville,Massachusetts
Dartmouth College,Ed Leede,108,190,83,1927,,
St. John's University,Andrew Levane,109,188,86,1920,Brooklyn,New York
Eastern Kentucky University,Freddie Lewis,110,188,88,1921,Brooklyn,New York
University of Wyoming,Ron Livingstone,111,208,99,1925,,
Indiana University,John Logan,112,188,79,1921,Richmond,Indiana
New York University,Ray Lumpp,113,185,80,1923,Brooklyn,New York
Saint Louis University,Ed Macauley*,114,203,83,1928,St. Louis,Missouri
Seton Hall University,Johnny Macknowski,115,183,81,1923,,
Georgetown University,John Mahnken,116,203,99,1922,New Jersey,New Jersey
Oregon State University,John Mandic,117,193,92,1919,Los Angeles,California
University of Texas at Austin,Slater Martin*,118,178,77,1925,El Mina,Texas
Utah State University,Ariel Maughan,119,193,86,1923,Salt Lake City,Utah
Michigan State University,Matt Mazza,120,190,95,1923,Niagara Falls,New York
Seton Hall University,Mike McCarron,121,180,81,1922,,
St. John's University,Dick McGuire*,122,183,81,1926,Huntington,New York
University of North Carolina,Bones McKinney,123,198,83,1919,Lowlands,North Carolina
Xavier University,Mal McMullen,124,196,95,1927,,
University of Tennessee,Dick Mehen,125,196,88,1922,,
University of Illinois at Urbana-Champaign,Ken Menke,126,183,76,1922,,
,Stan Miasek,127,196,95,1924,,
DePaul University,Ed Mikan,128,203,104,1925,,
DePaul University,George Mikan*,129,208,111,1924,Joliet,Illinois
Hamline University,Vern Mikkelsen*,130,201,104,1928,Fresno,California
Western Illinois University,Al Miksis,131,201,95,1928,,
Sam Houston State University,Murray Mitchell,132,201,95,1923,,
Youngstown State University,Leo Mogus,133,193,86,1921,Ohio,
Northwestern University,Max Morris,134,188,88,1925,,
College of the Holy Cross,Joe Mullaney,135,183,74,1925,Long Island,New York
Loyola University of Chicago,Jerry Nagel,136,183,86,1928,Chicago,Illinois
University of Washington,Jack Nichols,137,201,100,1926,,
University of Notre Dame,Richie Niemiera,138,185,74,1921,Chicago,Illinois
University of Kentucky,Paul Noel,139,193,83,1924,Midway,Kentucky
Georgia Institute of Technology,Jim Nolan,140,203,95,1927,Macon,Georgia
Hamline University,Johnny Norlander,141,190,81,1921,Virginia,Minnesota
University of Wyoming,George Nostrand,142,203,88,1924,Uniondale,New York
Loyola University of Chicago,Mike Novak,143,206,99,1915,Chicago,Illinois
College of the Holy Cross,Dermie O'Connell,144,183,78,1928,,
Loyola College in Maryland,Andy O'Donnell,145,185,81,1925,,
Santa Clara University,Dick O'Keefe,146,188,83,1923,San Francisco,California
Western Kentucky University,John Oldham,147,190,79,1923,Beaver Dam,Kentucky
Drake University,Gene Ollrich,148,180,72,1922,Whiting,Indiana
Beloit College,Johnny Orr,149,190,88,1927,Yale,Kansas
Bowling Green State University,Don Otten,150,208,108,1921,Bellefontaine,Ohio
Bowling Green State University,Mac Otten,151,201,99,1925,Bellefontaine,Ohio
Baylor University,Red Owens,152,190,83,1925,,
Texas Wesleyan University,Easy Parham,153,190,90,1921,Fort Worth,Texas
University of Kentucky,Jack Parkinson,154,183,78,1924,Yorktown,Indiana
Western Kentucky University,Charlie Parsley,155,188,79,1925,,
University of Illinois at Urbana-Champaign,Stan Patrick,156,188,83,1922,,
Bowling Green State University,Johnny Payak,157,193,78,1926,,
Tulane University,Warren Perkins,158,190,86,1922,New Orleans,Louisiana
Cornell University,Ed Peterson,159,206,99,1924,,
DePaul University,Jack Phelan,160,196,88,1925,Chicago,Illinois
University of Illinois at Urbana-Champaign,Andy Phillip*,161,188,88,1922,Granite City,Illinois
Stanford University,Jim Pollard*,162,193,83,1922,Oakland,California
Drake University,John Pritchard,163,206,99,1927,,
Ohio State University,Les Pugh,164,201,86,1923,,
,Don Putman,165,201,86,1923,,
,George Ratkovicz,166,198,99,1922,Chicago,Illinois
Western Kentucky University,Don Ray,167,196,86,1921,Mt. Juliet,Tennessee
New York University,Chick Reiser,168,180,74,1914,,
Ohio State University,Arnie Risen*,169,206,90,1924,Williamstown,Kentucky
Eastern Kentucky University,Tex Ritter,170,188,83,1924,Richmond,Kentucky
University of Wyoming,Bill Roberts,171,206,95,1925,Fort Wayne,Indiana
Oregon State University,Red Rocha,172,206,83,1923,Hilo,Hawaii
University of Kentucky,Kenny Rollins,173,183,76,1923,Charlestown,Missouri
Indiana State University,Bob Royer,174,178,70,1927,,
Temple University,Jerry Rullo,175,178,74,1923,Philadelphia,Pennsylvania
Seton Hall University,Ed Sadowski,176,196,108,1917,Johnstown,Pennsylvania
University of Wyoming,Kenny Sailors,177,178,79,1921,Bushnell,Nebraska
Seton Hall University,Pep Saul,178,188,83,1924,,
Indiana University,Herm Schaefer,179,183,79,1918,Fort Wayne,Indiana
Saint Louis University,Marv Schatzman,180,196,90,1927,,
West Virginia University,Fred Schaus,181,196,92,1925,Newark,Ohio
New York University,Dolph Schayes*,182,203,99,1928,New York,New York
Valparaiso University,Milt Schoon,183,201,104,1922,,
Hamline University,Howie Schultz,184,198,90,1922,St. Paul,Minnesota
University of Wisconsin,Dick Schulz,185,188,87,1917,Racine,Wisconsin
University of San Francisco,Fred Scolari,186,178,81,1922,San Francisco,California
Northern Arizona University,Wayne See,187,190,86,1923,Clemenceau,Arizona
University of Wisconsin,Glen Selbo,188,190,88,1926,,
Hamline University,Rollie Seltz,189,178,74,1924,McIntosh,Minnesota
University of Southern California,Jim Seminoff,190,188,86,1922,Los Angelse,California
Saint Joseph's University,George Senesky,191,188,81,1922,Mahanoy City,Pennsylvania
University of Toledo,Paul Seymour,192,185,81,1928,Toledo,Ohio
University of Alabama,Carl Shaeffer,193,190,83,1924,Delphi,Indiana
Kansas State University,Howie Shannon,194,188,79,1923,Manhattan,Kansas
Catholic University of America,Charley Shipp,195,185,90,1913,,
,Connie Simmons,196,203,100,1925,Newark,New Jersey
Appalachian State University,Belus Smawley,197,185,88,1918,Golden Valley,North Carolina
University of Illinois at Urbana-Champaign,Jack Smiley,198,190,86,1922,Sandwich,Illinois
University of Notre Dame,Chips Sobek,199,183,81,1920,,
Western Kentucky University,Odie Spears,200,196,92,1925,,
Villanova University,Art Spector,201,193,90,1920,Philadelphia,Pennsylvania
,Ed Stanczak,202,185,83,1921,,
DePaul University,Gene Stump,203,188,83,1923,,
University of Wyoming,Mike Todorovich,204,196,99,1923,,
University of the Pacific,Jack Toomay,205,198,97,1922,Ontario,California
St. John's University,Bob Tough,206,183,83,1920,New York,New York
Western Kentucky University,Blackie Towery,207,193,95,1920,Caldwell,Kentucky
DePaul University,Dick Triptow,208,183,77,1922,Chicago,Illinois
,Butch Van,209,183,77,1922,,
University of Illinois at Urbana-Champaign,Gene Vance,210,190,88,1923,,
Colgate University,Ernie Vandeweghe,211,190,88,1928,Montreal,Canada
University of Wyoming,Floyd Volker,212,193,92,1921,Casper,Wyoming
,Whitey Von,213,193,92,1921,,
Saint Mary's University of Minnesota,Clint Wager,214,198,95,1920,Winona,Minnesota
University of Texas at Austin,Danny Wagner,215,183,77,1922,,
Brigham Young University,Brady Walker,216,198,92,1921,Provo,Utah
University of Tennessee,Paul Walther,217,188,72,1927,Covington,Kentucky
Seton Hall University,Bobby Wanzer*,218,183,77,1921,Brooklyn,New York
University of Iowa,Murray Wier,219,175,70,1926,Grand View,Iowa
,D.C. Wilcutt,220,175,70,1926,,
Northern Illinois University,Bob Wood,221,175,70,1921,,
St. John's University,Max Zaslofsky,222,188,77,1925,Brooklyn,New York
nan,nan,223,,,,,
Villanova University,Paul Arizin*,224,193,86,1928,Philadelphia,Pennsylvania
West Virginia University,Ed Beach,225,190,90,1929,,
University of Arizona,Leon Blevins,226,188,72,1926,,
Temple University,Ike Borsavage,227,203,99,1924,Plymouth,Pennsylvania
University of Tennessee,Art Burris,228,196,99,1924,,
St. John's University,Gerry Calabrese,229,185,79,1925,Hoboken,New Jersey
University of Toledo,Cal Christensen,230,196,95,1927,,
Xavier University of Louisiana,Nat Clifton*,231,198,99,1922,Little Rock,Arkansas
Duquesne University,Chuck Cooper,232,196,95,1926,,
College of the Holy Cross,Bob Cousy*,233,185,79,1928,New York,New York
Clark Atlanta University,Hank DeZonie,234,198,97,1922,,
Ohio State University,Bob Donham,235,188,86,1926,,
West Texas A&M University,Ray Ellefson,236,203,104,1922,Brookings,South Dakota
La Salle University,Larry Foust,237,206,97,1928,Painesville,Ohio
Washington State University,Ed Gayda,238,193,95,1927,,
Hamline University,Joe Hutton,239,185,77,1928,,
Western Kentucky University,Bob Lavoy,240,201,83,1926,,
West Virginia State University,Earl Lloyd*,241,196,90,1928,,
University of San Francisco,Don Lofgran,242,196,90,1928,Oakland,California
City College of New York,Norm Mager,243,196,83,1926,,
University of San Francisco,Joe McNamee,244,198,95,1926,,
Eastern Kentucky University,Chuck Mrazovich,245,196,83,1924,,
St. Bonaventure University,Ken Murray,246,188,86,1928,,
Georgetown University,Tommy O'Keefe,247,188,83,1928,Jersey City,New Jersey
University of Notre Dame,Kevin O'Shea,248,188,79,1925,San Francisco,California
University of Wisconsin,Don Rehfeldt,249,201,95,1927,Chicago,Illinois
Tulane University,Jim Riffey,250,193,90,1923,,
"University of California, Los Angeles",Alan Sawyer,251,196,88,1928,Long Beach,California
Long Island University,Herb Scherer,252,206,96,1928,,
Ohio State University,Dick Schnittker,253,196,90,1928,Kelleys Island,Ohio
University of Southern California,Bill Sharman*,254,185,79,1926,Abilene,Texas
"University of California, Los Angeles",Don Barksdale*,255,198,90,1923,Oakland,California
Bradley University,Elmer Behnke,256,201,95,1929,Rockford,Illinois
,Stan Brown,257,190,90,1929,,
Duquesne University,Ed Dahler,258,196,86,1926,,
University of Wisconsin-River Falls,Nate DeLong,259,198,99,1926,,
North Carolina State University,Dick Dickey,260,185,79,1926,Grant County,Indiana
Northwestern University,Jake Fendley,261,183,81,1929,,
University of Missouri,Jerry Fowler,262,203,104,1927,,
Kansas State University,Lew Hitch,263,203,90,1929,Griggsville,Illinois
Brigham Young University,Mel Hutchins,264,198,90,1928,Sacramento,California
Ohio State University,Neil Johnston*,265,203,95,1929,Chillicothe,Ohio
Syracuse University,Jack Kiley,266,185,77,1929,,
University of Charleston,George King,267,183,79,1928,Charleston,West Virginia
Northwestern State University,John McConathy,268,196,88,1930,Sailes,Louisiana
St. John's University,Alfred McGuire*,269,188,81,1928,New York,New York
"University of California, Los Angeles",Dave Minor,270,188,83,1922,Missouri,
Butler University,Ralph O'Brien,271,175,72,1928,Henshaw,Kentucky
University of Illinois at Urbana-Champaign,Wally Osterkorn,272,196,97,1928,,
Tulane University,Mel Payton,273,193,83,1926,,
University of Wyoming,John Pilch,274,190,83,1925,Sheridan,Wyoming
Northwestern University,Ray Ragelis,275,193,92,1928,,
North Carolina State University,Sam Ranzino,276,185,83,1927,Gary,Indiana
Drake University,John Rennicke,277,188,83,1929,,
LeMoyne College,Don Savage,278,190,92,1928,,
Bowling Green State University,Chuck Share,279,211,106,1927,,
Niagara University,Zeke Sinicola,280,178,74,1929,,
University of Minnesota,Whitey Skoog,281,180,81,1926,Duluth,Minnesota
University of South Carolina,Jim Slaughter,282,211,95,1928,,
Indiana University,Bill Tosheff,283,185,79,1926,,
West Virginia State University,Bob Wilson,284,193,83,1926,,
Eastern Kentucky University,Jim Baechtold,285,193,92,1927,McKeesport,Pennsylvania
New York University,Jim Brasco,286,185,77,1931,Brooklyn,New York
New York University,Dick Bunt,287,183,77,1930,Queens,New York
Washington State University,Gene Conley,288,203,102,1930,Muskogee,Oklahoma
Oklahoma State University,Pete Darcey,289,201,98,1930,,
Lawrence Technological University,Blaine Denning,290,188,79,1930,,
St. John's University,Danny Finn,291,185,83,1928,,
Duke University,Dick Groat,292,180,81,1930,Wilkinsburg,Pennsylvania
Loyola University of Chicago,Don Hanrahan,293,201,90,1929,,
University of California,Don Henriksen,294,201,102,1929,,
University of Cincinnati,Jim Holstein,295,190,81,1930,,
University of Louisville,Bob Lochmueller,296,196,83,1927,,
Brown University,Mo Mahoney,297,188,92,1927,,
Canisius College,Al Masino,298,178,78,1928,,
University of Pennsylvania,Jack McCloskey,299,188,86,1925,Mahanoy City,Pennsylvania
Marshall University,Bucky McConnell,300,178,77,1928,,
Texas Christian University,George McLeod,301,196,90,1931,,
St. John's University,Jack McMahon,302,185,83,1928,,
University of Dayton,Monk Meineke,303,201,94,1930,Dayton,Ohio
Syracuse University,Eddie Miller,304,203,102,1931,,
Temple University,Bill Mlkvy,305,193,86,1931,Palmerton,Pennsylvania
Villanova University,Jim Mooney,306,196,97,1930,,
University of Louisville,Bob Naber,307,190,83,1929,,
Colorado State University,John O'Boyle,308,188,83,1928,,
University of California,Mike O'Neill,309,190,95,1928,,
East Central University,Claude Overton,310,188,88,1927,,
Whitworth,Ralph Polson,311,201,90,1929,,
New Mexico State University,Bob Priddy,312,190,86,1930,,
University of Wyoming,Moe Radovich,313,183,72,1929,,
Villanova University,Sherwin Raiken,314,188,83,1928,,
Western Kentucky University,Gene Rhodes,315,185,77,1927,,
Long Island University,Dick Surhoff,316,193,95,1929,,
West Virginia University,Mark Workman,317,206,97,1930,Charleston,West Virginia
St. John's University,Zeke Zawoluk,318,201,97,1930,Brooklyn,New York
Long Island University,Don Ackerman,319,183,83,1930,New York,New York
Alliance College,Don Asmonga,320,188,83,1928,West Mifflin,Pennsylvania
Kansas State University,Ernie Barrett,321,190,81,1929,Pratt,Kansas
University of Pennsylvania,Ernie Beck,322,193,86,1931,Philadelphia,Pennsylvania
University of Illinois at Urbana-Champaign,Irv Bemoras,323,190,83,1930,,
Georgetown University,Bill Bolger,324,196,92,1931,,
Texas A&M University,Walt Davis,325,203,92,1931,Beaumont,Texas
DePaul University,Gene Dyker,326,198,102,1930,,
Loyola University of Chicago,Ed Earle,327,190,86,1927,,
Long Island University,Ray Felix,328,211,99,1930,New York,New York
Hamline University,Jim Fritsche,329,203,95,1931,,
La Salle University,Jack George,330,188,86,1928,Swissvale,Pennsylvania
DePaul University,Bato Govedarica,331,180,83,1928,,
La Salle University,Norm Grekin,332,196,81,1930,Philadelphia,Pennsylvania
Long Island University,Rollen Hans,333,188,95,1931,,
University of Washington,Bob Houbregs*,334,201,95,1932,Vancouver,Canada
St. Bonaventure University,Billy Kenville,335,188,84,1930,Elmhurst,New York
Kansas State University,Dick Knostman,336,198,97,1931,Wamego,Kansas
University of Kansas,Clyde Lovellette*,337,206,106,1929,Petersburg,Indiana
St. Francis College,Jim Luisi,338,188,81,1928,,
Columbia University,Jack Molinas,339,198,90,1931,New York,New York
Wofford College,Jim Neal,340,211,106,1930,,
Texas Tech University,Paul Nolen,341,211,106,1929,,
University of Oregon,Bob Peterson,342,196,95,1932,San Mateo,California
DePaul University,James Phelan,343,196,88,1925,Chicago,Illinois
Centenary College of Louisiana,Connie Rea,344,190,79,1935,,
Syracuse University,Frank Reddout,345,196,88,1935,,
Long Island University,Al Roges,346,193,88,1930,,
Harvard University,Ed Smith,347,198,81,1929,West Jefferson,Ohio
Niagara University,Joe Smyth,348,190,97,1929,,
University of Illinois at Urbana-Champaign,Don Sunderlage,349,185,81,1929,Roselle,Illinois
University of Detroit Mercy,Norm Swanson,350,198,95,1930,Chicago,Illinois
Long Island University,Hal Uplinger,351,193,83,1929,,
,Isaac Walthour,352,180,73,1930,New York City,New York
Stanford University,George Yardley*,353,196,86,1928,Hollywood,California
Missouri State University,Don Anielak,354,201,86,1930,,
Villanova University,Tom Brennan,355,190,88,1930,,
Bradley University,Bob Carney,356,190,77,1932,,
Fordham University,Fred Christ,357,193,95,1930,,
Utah State University,Bert Cook,358,190,83,1929,,
Niagara University,Larry Costello,359,185,84,1931,Minoa,New York
King's College,George Dempsey,360,188,86,1929,Philadelphia,Pennsylvania
St. Bonaventure University,Fred Diute,361,190,95,1929,,
Indiana University,Dick Farley,362,193,86,1932,,
University of Dayton,Chuck Grigsby,363,196,86,1928,Dayton,Ohio
Canisius College,Herm Hedderick,364,196,77,1930,Erie,Pennsylvania
University of Minnesota,Ed Kalafat,365,198,111,1932,,
Princeton University,Mike Kearns,366,188,80,1929,Trenton,New Jersey
University of Illinois at Urbana-Champaign,Red Kerr,367,206,104,1932,Chicago,Illinois
Western Kentucky University,Dan King,368,198,99,1931,,
,Bob Knight,369,188,83,1929,,
St. John's University,Ronnie MacGilvray,370,188,83,1930,,
Western Kentucky University,Tom Marshall,371,193,97,1931,,
University of Toledo,Phil Martin,372,190,86,1928,,
University of Maryland Eastern Shore,Ken McBride,373,190,86,1928,,
Purdue University,Carl McNulty,374,190,83,1930,,
La Salle University,Jackie Moore,375,196,81,1932,Philadelphia,Pennsylvania
University of Idaho,Red Morrison,376,203,99,1932,,
New York University,Boris Nachamkin,377,198,95,1933,,
College of the Holy Cross,Togo Palazzi,378,193,92,1932,Union City,New Jersey
Louisiana State University,Bob Pettit*,379,206,92,1932,Baton Rouge,Louisiana
University of Kentucky,Frank Ramsey*,380,190,86,1931,Corydon,Kentucky
University of Notre Dame,Dick Rosenthal,381,196,92,1930,,
Furman University,Frank Selvy,382,190,81,1932,Corbin,Kentucky
University of Maryland,Gene Shue,383,188,77,1931,Baltimore,Maryland
Western Kentucky University,Art Spoelstra,384,206,99,1932,,
Duquesne University,Jim Tucker,385,201,83,1932,Paris,Kentucky
Western Kentucky University,Jack Turner,386,193,77,1930,Bedford,Indiana
University of Kentucky,Bobby Watson,387,183,72,1930,Central City,Kentucky
University of Kentucky,Skippy Whitaker,388,185,81,1930,,
Pennsylvania State University,Jesse Arnelle,389,196,99,1933,New Rochelle,New York
Indiana State University,Dick Atha,390,188,86,1931,Otterbein,Indiana
Valparaiso University,Don Bielke,391,201,108,1931,,
Fordham University,Ed Conlin,392,196,90,1933,,
St. John's University,Red Davis,393,201,99,1932,,
George Washington University,Corky Devlin,394,196,88,1931,,
Seton Hall University,Walter Dukes,395,213,99,1930,Rochester,New York
DePaul University,Ron Feiereisel,396,190,83,1931,,
Michigan State University,Al Ferrari,397,193,86,1933,New York,New York
Niagara University,Ed Fleming,398,190,85,1933,,
University of Minnesota,Dick Garmaker,399,190,90,1932,Hibbing,Minnesota
La Salle University,Tom Gola*,400,198,92,1933,Philadelphia,Pennsylvania
University of Dayton,Chris Harris,401,190,86,1933,Southampton,United Kingdom
Wake Forest University,Dick Hemric,402,198,99,1933,Jonesville,North Carolina
Villanova University,Larry Hennessy,403,190,83,1929,,
University of Dayton,Johnny Horan,404,203,86,1932,,
University of Oregon,Jim Loscutoff,405,196,99,1930,San Francisco,California
University of Minnesota,Chuck Mencel,406,183,76,1933,Phillips,Wisconsin
University of Louisville,Chuck Noble,407,193,86,1931,,
University of Missouri,Med Park,408,188,92,1933,Britton,South Dakota
Seton Hall University,Richie Regan,409,188,81,1930,Newark,New Jersey
Duquesne University,Dick Ricketts,410,201,97,1933,Pottstown,Pennsylvania
Iona College,Bob Santini,411,196,86,1935,Bronx,New York
Villanova University,Bob Schafer,412,190,88,1935,,
Santa Clara University,Kenny Sears,413,206,89,1933,Watsonville,California
University of Notre Dame,Jack Stephens,414,190,83,1933,,
Saint Francis University,Maurice Stokes*,415,201,105,1933,Pittsburgh,Pennsylvania
University of Cincinnati,Jack Twyman*,416,198,95,1934,Pittsburgh,Pennsylvania
Florida Agricultural and Mechanical University,Bob Williams,417,198,104,1931,,
Western Kentucky University,Forest Able,418,190,81,1932,,
Michigan State University,Bob Armstrong,419,203,99,1933,Detroit,Michigan
"California State University, Los Angeles",John Barber,420,198,95,1927,,
University of Utah,Gary Bergen,421,203,95,1932,Independence,Missouri
Bowling Green State University,Al Bianchi,422,190,83,1932,Long Island City,New York
University of Kentucky,Bob Burrow,423,201,103,1934,Malvern,Arkansas
Duquesne University,Si Green,424,188,83,1933,New York,New York
Iona College,Richie Guerin*,425,193,88,1932,New York,New York
University of Kentucky,Cliff Hagan*,426,193,95,1931,Owensboro,Kentucky
College of the Holy Cross,Tom Heinsohn*,427,201,98,1934,Union City,New Jersey
George Washington University,Joe Holup,428,198,97,1934,,
Grambling State University,Bob Hopkins,429,203,92,1934,Jonesboro,Louisiana
Whitworth,Phil Jordon,430,208,92,1933,Lakeport,California
Temple University,Hal Lear,431,183,73,1935,Philadelphia,Pennsylvania
Indiana University,Slick Leonard*,432,190,83,1932,Terre Haute,Indiana
Canisius College,Johnny McCarthy,433,185,83,1934,,
"University of California, Los Angeles",Willie Naulls,434,198,102,1934,Dallas,Texas
University of Dayton,Jim Paxson,435,198,90,1932,Pennville,Indiana
Xavier University,Dave Piontek,436,198,104,1934,,
University of Toledo,Jim Ray,437,185,81,1934,,
University of San Francisco,Bill Russell*,438,208,97,1934,Monroe,Louisiana
North Carolina State University,Ron Shavlik,439,203,90,1933,Denver,Colorado
DePaul University,Ron Sobie,440,190,83,1934,Chicago,Illinois
University of Missouri,Norm Stewart,441,196,92,1935,Leonard,Missouri
Hofstra University,Bill Thieben,442,201,97,1935,,
University of Kentucky,Lou Tsioropoulos,443,196,86,1930,Lynn,Massachusetts
