team1,team2,id,season,city,date,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
Kolkata Knight Riders,Deccan Chargers,175,2010,Mumbai,3/12/2010,Deccan Chargers,field,normal,0,Kolkata Knight Riders,11,0,AD Mathews,Dr DY Patil Sports Academy,RE Koertzen,RB Tiffin,
Mumbai Indians,Rajasthan Royals,176,2010,Mumbai,3/13/2010,Mumbai Indians,bat,normal,0,Mumbai Indians,4,0,YK Pathan,Brabourne Stadium,RE Koertzen,RB Tiffin,
Kings XI Punjab,Delhi Daredevils,177,2010,Chandigarh,3/13/2010,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,5,G Gambhir,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,S Ravi,
Royal Challengers Bangalore,Kolkata Knight Riders,178,2010,Kolkata,3/14/2010,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,MK Tiwary,Eden Gardens,HDPK Dharmasena,AM Saheba,
Deccan Chargers,Chennai Super Kings,179,2010,Chennai,3/14/2010,Deccan Chargers,bat,normal,0,Deccan Chargers,31,0,WPUJC Vaas,"MA Chidambaram Stadium, Chepauk",K Hariharan,DJ Harper,
Rajasthan Royals,Delhi Daredevils,180,2010,Ahmedabad,3/15/2010,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,6,V Sehwag,"Sardar Patel Stadium, Motera",BG Jerling,RE Koertzen,
Kings XI Punjab,Royal Challengers Bangalore,181,2010,Bangalore,3/16/2010,Kings XI Punjab,bat,normal,0,Royal Challengers Bangalore,0,8,JH Kallis,M Chinnaswamy Stadium,S Das,DJ Harper,
Chennai Super Kings,Kolkata Knight Riders,182,2010,Kolkata,3/16/2010,Chennai Super Kings,bat,normal,0,Chennai Super Kings,55,0,MS Dhoni,Eden Gardens,HDPK Dharmasena,AM Saheba,
Mumbai Indians,Delhi Daredevils,183,2010,Delhi,3/17/2010,Delhi Daredevils,field,normal,0,Mumbai Indians,98,0,SR Tendulkar,Feroz Shah Kotla,BR Doctrove,SK Tarapore,
Rajasthan Royals,Royal Challengers Bangalore,184,2010,Bangalore,3/18/2010,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,10,JH Kallis,M Chinnaswamy Stadium,K Hariharan,DJ Harper,
Delhi Daredevils,Chennai Super Kings,185,2010,Delhi,3/19/2010,Delhi Daredevils,bat,normal,0,Chennai Super Kings,0,5,ML Hayden,Feroz Shah Kotla,BR Doctrove,SK Tarapore,
Deccan Chargers,Kings XI Punjab,186,2010,Cuttack,3/19/2010,Kings XI Punjab,field,normal,0,Deccan Chargers,6,0,A Symonds,Barabati Stadium,BF Bowden,M Erasmus,
Rajasthan Royals,Kolkata Knight Riders,187,2010,Ahmedabad,3/20/2010,Rajasthan Royals,bat,normal,0,Rajasthan Royals,34,0,AA Jhunjhunwala,"Sardar Patel Stadium, Motera",RE Koertzen,RB Tiffin,
Mumbai Indians,Royal Challengers Bangalore,188,2010,Mumbai,3/20/2010,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,0,7,JH Kallis,Brabourne Stadium,HDPK Dharmasena,SS Hazare,
Deccan Chargers,Delhi Daredevils,189,2010,Cuttack,3/21/2010,Deccan Chargers,bat,normal,0,Deccan Chargers,10,0,A Symonds,Barabati Stadium,BF Bowden,M Erasmus,
Kings XI Punjab,Chennai Super Kings,190,2010,Chennai,3/21/2010,Chennai Super Kings,field,tie,0,Kings XI Punjab,0,0,J Theron,"MA Chidambaram Stadium, Chepauk",K Hariharan,DJ Harper,
Kolkata Knight Riders,Mumbai Indians,191,2010,Mumbai,3/22/2010,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,0,7,SR Tendulkar,Brabourne Stadium,SS Hazare,SJA Taufel,
Royal Challengers Bangalore,Chennai Super Kings,192,2010,Bangalore,3/23/2010,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,36,0,RV Uthappa,M Chinnaswamy Stadium,RE Koertzen,RB Tiffin,
Rajasthan Royals,Kings XI Punjab,193,2010,Chandigarh,3/24/2010,Kings XI Punjab,field,normal,0,Rajasthan Royals,31,0,AC Voges,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,SK Tarapore,
Chennai Super Kings,Mumbai Indians,194,2010,Mumbai,3/25/2010,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,SR Tendulkar,Brabourne Stadium,BF Bowden,AM Saheba,
Deccan Chargers,Rajasthan Royals,195,2010,Ahmedabad,3/26/2010,Deccan Chargers,bat,normal,0,Rajasthan Royals,0,8,YK Pathan,"Sardar Patel Stadium, Motera",HDPK Dharmasena,SJA Taufel,
Kolkata Knight Riders,Kings XI Punjab,196,2010,Chandigarh,3/27/2010,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,39,0,MK Tiwary,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,S Ravi,
Delhi Daredevils,Royal Challengers Bangalore,197,2010,Bangalore,3/25/2010,Royal Challengers Bangalore,field,normal,0,Delhi Daredevils,17,0,KM Jadhav,M Chinnaswamy Stadium,BG Jerling,RE Koertzen,
Rajasthan Royals,Chennai Super Kings,198,2010,Ahmedabad,3/28/2010,Rajasthan Royals,bat,normal,0,Rajasthan Royals,17,0,NV Ojha,"Sardar Patel Stadium, Motera",SS Hazare,SJA Taufel,
Mumbai Indians,Deccan Chargers,199,2010,Mumbai,3/28/2010,Deccan Chargers,field,normal,0,Mumbai Indians,41,0,Harbhajan Singh,Dr DY Patil Sports Academy,S Das,K Hariharan,
Delhi Daredevils,Kolkata Knight Riders,200,2010,Delhi,3/29/2010,Delhi Daredevils,bat,normal,0,Delhi Daredevils,40,0,DA Warner,Feroz Shah Kotla,SS Hazare,SJA Taufel,
Kings XI Punjab,Mumbai Indians,201,2010,Mumbai,3/30/2010,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,SL Malinga,Brabourne Stadium,BR Doctrove,SK Tarapore,
Royal Challengers Bangalore,Chennai Super Kings,202,2010,Chennai,3/31/2010,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,0,5,M Vijay,"MA Chidambaram Stadium, Chepauk",BG Jerling,RE Koertzen,
Delhi Daredevils,Rajasthan Royals,203,2010,Delhi,3/31/2010,Delhi Daredevils,bat,normal,0,Delhi Daredevils,67,0,KD Karthik,Feroz Shah Kotla,HDPK Dharmasena,SJA Taufel,
Kolkata Knight Riders,Deccan Chargers,204,2010,Kolkata,4/1/2010,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,24,0,SC Ganguly,Eden Gardens,K Hariharan,DJ Harper,
Kings XI Punjab,Royal Challengers Bangalore,205,2010,Chandigarh,4/2/2010,Kings XI Punjab,bat,normal,0,Royal Challengers Bangalore,0,6,KP Pietersen,"Punjab Cricket Association Stadium, Mohali",BF Bowden,M Erasmus,
Chennai Super Kings,Rajasthan Royals,206,2010,Chennai,4/3/2010,Chennai Super Kings,bat,normal,0,Chennai Super Kings,23,0,M Vijay,"MA Chidambaram Stadium, Chepauk",RE Koertzen,RB Tiffin,
Mumbai Indians,Deccan Chargers,207,2010,Mumbai,4/3/2010,Mumbai Indians,bat,normal,0,Mumbai Indians,63,0,AT Rayudu,Brabourne Stadium,BR Doctrove,S Ravi,
Kolkata Knight Riders,Kings XI Punjab,208,2010,Kolkata,4/4/2010,Kolkata Knight Riders,bat,normal,0,Kings XI Punjab,0,8,DPMD Jayawardene,Eden Gardens,S Asnani,DJ Harper,
Delhi Daredevils,Royal Challengers Bangalore,209,2010,Delhi,4/4/2010,Delhi Daredevils,bat,normal,0,Delhi Daredevils,37,0,PD Collingwood,Feroz Shah Kotla,BF Bowden,M Erasmus,
Rajasthan Royals,Deccan Chargers,210,2010,Nagpur,4/5/2010,Rajasthan Royals,bat,normal,0,Rajasthan Royals,2,0,SK Warne,"Vidarbha Cricket Association Stadium, Jamtha",HDPK Dharmasena,SJA Taufel,
Chennai Super Kings,Mumbai Indians,211,2010,Chennai,4/6/2010,Chennai Super Kings,bat,normal,0,Chennai Super Kings,24,0,SK Raina,"MA Chidambaram Stadium, Chepauk",S Asnani,DJ Harper,
Kings XI Punjab,Rajasthan Royals,212,2010,Jaipur,4/7/2010,Kings XI Punjab,bat,normal,0,Rajasthan Royals,0,9,MJ Lumb,Sawai Mansingh Stadium,S Ravi,SK Tarapore,
Kolkata Knight Riders,Delhi Daredevils,213,2010,Kolkata,4/7/2010,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,14,0,SC Ganguly,Eden Gardens,BG Jerling,RE Koertzen,
Royal Challengers Bangalore,Deccan Chargers,214,2010,Bangalore,4/8/2010,Deccan Chargers,field,normal,0,Deccan Chargers,0,7,TL Suman,M Chinnaswamy Stadium,S Asnani,DJ Harper,
Mumbai Indians,Kings XI Punjab,215,2010,Chandigarh,4/9/2010,Mumbai Indians,bat,normal,0,Kings XI Punjab,0,6,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",M Erasmus,AM Saheba,
Chennai Super Kings,Deccan Chargers,216,2010,Nagpur,4/10/2010,Chennai Super Kings,bat,normal,0,Deccan Chargers,0,6,RJ Harris,"Vidarbha Cricket Association Stadium, Jamtha",HDPK Dharmasena,SJA Taufel,
Kolkata Knight Riders,Royal Challengers Bangalore,217,2010,Bangalore,4/10/2010,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,R Vinay Kumar,M Chinnaswamy Stadium,K Hariharan,DJ Harper,
Delhi Daredevils,Kings XI Punjab,218,2010,Delhi,4/11/2010,Delhi Daredevils,bat,normal,0,Kings XI Punjab,0,7,PP Chawla,Feroz Shah Kotla,BF Bowden,AM Saheba,
Mumbai Indians,Rajasthan Royals,219,2010,Jaipur,4/11/2010,Rajasthan Royals,field,normal,0,Mumbai Indians,37,0,SR Tendulkar,Sawai Mansingh Stadium,BR Doctrove,SK Tarapore,
Deccan Chargers,Royal Challengers Bangalore,220,2010,Nagpur,4/12/2010,Royal Challengers Bangalore,field,normal,0,Deccan Chargers,13,0,Harmeet Singh,"Vidarbha Cricket Association Stadium, Jamtha",RE Koertzen,RB Tiffin,
Mumbai Indians,Delhi Daredevils,221,2010,Mumbai,4/13/2010,Mumbai Indians,bat,normal,0,Mumbai Indians,39,0,KA Pollard,Brabourne Stadium,S Asnani,DJ Harper,
Kolkata Knight Riders,Chennai Super Kings,222,2010,Chennai,4/13/2010,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,0,9,R Ashwin,"MA Chidambaram Stadium, Chepauk",SS Hazare,SJA Taufel,
Rajasthan Royals,Royal Challengers Bangalore,223,2010,Jaipur,4/14/2010,Rajasthan Royals,bat,normal,0,Royal Challengers Bangalore,0,5,KP Pietersen,Sawai Mansingh Stadium,BR Doctrove,S Ravi,
Chennai Super Kings,Delhi Daredevils,224,2010,Chennai,4/15/2010,Chennai Super Kings,bat,normal,0,Delhi Daredevils,0,6,G Gambhir,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,SS Hazare,
Kings XI Punjab,Deccan Chargers,225,2010,Dharamsala,4/16/2010,Deccan Chargers,field,normal,0,Deccan Chargers,0,5,RG Sharma,Himachal Pradesh Cricket Association Stadium,M Erasmus,AM Saheba,
Mumbai Indians,Royal Challengers Bangalore,226,2010,Bangalore,4/17/2010,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,57,0,R McLaren,M Chinnaswamy Stadium,HDPK Dharmasena,SJA Taufel,
Rajasthan Royals,Kolkata Knight Riders,227,2010,Kolkata,4/17/2010,Rajasthan Royals,bat,normal,0,Kolkata Knight Riders,0,8,JD Unadkat,Eden Gardens,BG Jerling,RB Tiffin,
Kings XI Punjab,Chennai Super Kings,228,2010,Dharamsala,4/18/2010,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,6,MS Dhoni,Himachal Pradesh Cricket Association Stadium,BF Bowden,AM Saheba,
Deccan Chargers,Delhi Daredevils,229,2010,Delhi,4/18/2010,Deccan Chargers,bat,normal,0,Deccan Chargers,11,0,A Symonds,Feroz Shah Kotla,BR Doctrove,SK Tarapore,
Mumbai Indians,Kolkata Knight Riders,230,2010,Kolkata,4/19/2010,Mumbai Indians,bat,normal,0,Kolkata Knight Riders,0,9,M Kartik,Eden Gardens,BG Jerling,RE Koertzen,
Mumbai Indians,Royal Challengers Bangalore,231,2010,Mumbai,4/21/2010,Mumbai Indians,bat,normal,0,Mumbai Indians,35,0,KA Pollard,Dr DY Patil Sports Academy,BR Doctrove,RB Tiffin,
Chennai Super Kings,Deccan Chargers,232,2010,Mumbai,4/22/2010,Chennai Super Kings,bat,normal,0,Chennai Super Kings,38,0,DE Bollinger,Dr DY Patil Sports Academy,BR Doctrove,RB Tiffin,
Deccan Chargers,Royal Challengers Bangalore,233,2010,Mumbai,4/24/2010,Deccan Chargers,bat,normal,0,Royal Challengers Bangalore,0,9,A Kumble,Dr DY Patil Sports Academy,RE Koertzen,SJA Taufel,
Chennai Super Kings,Mumbai Indians,234,2010,Mumbai,4/25/2010,Chennai Super Kings,bat,normal,0,Chennai Super Kings,22,0,SK Raina,Dr DY Patil Sports Academy,RE Koertzen,SJA Taufel,
Chennai Super Kings,Kolkata Knight Riders,235,2011,Chennai,4/8/2011,Chennai Super Kings,bat,normal,0,Chennai Super Kings,2,0,S Anirudha,"MA Chidambaram Stadium, Chepauk",BR Doctrove,PR Reiffel,
Deccan Chargers,Rajasthan Royals,236,2011,Hyderabad,4/9/2011,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,8,SK Trivedi,"Rajiv Gandhi International Stadium, Uppal",RE Koertzen,SK Tarapore,
Kochi Tuskers Kerala,Royal Challengers Bangalore,237,2011,Kochi,4/9/2011,Kochi Tuskers Kerala,bat,normal,0,Royal Challengers Bangalore,0,6,AB de Villiers,Nehru Stadium,HDPK Dharmasena,K Hariharan,
Delhi Daredevils,Mumbai Indians,238,2011,Delhi,4/10/2011,Delhi Daredevils,bat,normal,0,Mumbai Indians,0,8,SL Malinga,Feroz Shah Kotla,AM Saheba,RB Tiffin,
Kings XI Punjab,Pune Warriors,239,2011,Mumbai,4/10/2011,Kings XI Punjab,bat,normal,0,Pune Warriors,0,7,SB Wagh,Dr DY Patil Sports Academy,BR Doctrove,PR Reiffel,
Kolkata Knight Riders,Deccan Chargers,240,2011,Kolkata,4/11/2011,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,9,0,JH Kallis,Eden Gardens,RE Koertzen,SK Tarapore,
Delhi Daredevils,Rajasthan Royals,241,2011,Jaipur,4/12/2011,Delhi Daredevils,bat,normal,0,Rajasthan Royals,0,6,SK Warne,Sawai Mansingh Stadium,Aleem Dar,RB Tiffin,
Royal Challengers Bangalore,Mumbai Indians,242,2011,Bangalore,4/12/2011,Mumbai Indians,field,normal,0,Mumbai Indians,0,9,SR Tendulkar,M Chinnaswamy Stadium,HDPK Dharmasena,AL Hill,
Chennai Super Kings,Kings XI Punjab,243,2011,Chandigarh,4/13/2011,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,PC Valthaty,"Punjab Cricket Association Stadium, Mohali",Asad Rauf,SL Shastri,
Kochi Tuskers Kerala,Pune Warriors,244,2011,Mumbai,4/13/2011,Kochi Tuskers Kerala,bat,normal,0,Pune Warriors,0,4,MD Mishra,Dr DY Patil Sports Academy,S Asnani,PR Reiffel,
Deccan Chargers,Royal Challengers Bangalore,245,2011,Hyderabad,4/14/2011,Royal Challengers Bangalore,field,normal,0,Deccan Chargers,33,0,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",RE Koertzen,S Ravi,
Rajasthan Royals,Kolkata Knight Riders,246,2011,Jaipur,4/15/2011,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,9,G Gambhir,Sawai Mansingh Stadium,Aleem Dar,SS Hazare,
Mumbai Indians,Kochi Tuskers Kerala,247,2011,Mumbai,4/15/2011,Kochi Tuskers Kerala,field,normal,0,Kochi Tuskers Kerala,0,8,BB McCullum,Wankhede Stadium,BR Doctrove,PR Reiffel,
Chennai Super Kings,Royal Challengers Bangalore,248,2011,Chennai,4/16/2011,Chennai Super Kings,bat,normal,0,Chennai Super Kings,21,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,AL Hill,
Deccan Chargers,Kings XI Punjab,249,2011,Hyderabad,4/16/2011,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,8,PC Valthaty,"Rajiv Gandhi International Stadium, Uppal",RE Koertzen,S Ravi,
Pune Warriors,Delhi Daredevils,250,2011,Mumbai,4/17/2011,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,3,Yuvraj Singh,Dr DY Patil Sports Academy,Asad Rauf,AM Saheba,
Rajasthan Royals,Kolkata Knight Riders,251,2011,Kolkata,4/17/2011,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,L Balaji,Eden Gardens,Aleem Dar,RB Tiffin,
Chennai Super Kings,Kochi Tuskers Kerala,252,2011,Kochi,4/18/2011,Kochi Tuskers Kerala,field,normal,1,Kochi Tuskers Kerala,0,7,BB McCullum,Nehru Stadium,K Hariharan,AL Hill,
Deccan Chargers,Delhi Daredevils,253,2011,Delhi,4/19/2011,Deccan Chargers,bat,normal,0,Deccan Chargers,16,0,S Sohal,Feroz Shah Kotla,PR Reiffel,RJ Tucker,
Pune Warriors,Mumbai Indians,254,2011,Mumbai,4/20/2011,Pune Warriors,bat,normal,0,Mumbai Indians,0,7,MM Patel,Wankhede Stadium,Asad Rauf,AM Saheba,
Kochi Tuskers Kerala,Kolkata Knight Riders,255,2011,Kolkata,4/20/2011,Kolkata Knight Riders,field,normal,0,Kochi Tuskers Kerala,6,0,DPMD Jayawardene,Eden Gardens,Aleem Dar,RB Tiffin,
Kings XI Punjab,Rajasthan Royals,256,2011,Chandigarh,4/21/2011,Rajasthan Royals,field,normal,0,Kings XI Punjab,48,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",S Asnani,PR Reiffel,
Mumbai Indians,Chennai Super Kings,257,2011,Mumbai,4/22/2011,Chennai Super Kings,field,normal,0,Mumbai Indians,8,0,Harbhajan Singh,Wankhede Stadium,Asad Rauf,AM Saheba,
Kolkata Knight Riders,Royal Challengers Bangalore,258,2011,Kolkata,4/22/2011,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,9,CH Gayle,Eden Gardens,SS Hazare,RB Tiffin,
Delhi Daredevils,Kings XI Punjab,259,2011,Delhi,4/23/2011,Kings XI Punjab,field,normal,0,Delhi Daredevils,29,0,DA Warner,Feroz Shah Kotla,S Asnani,RE Koertzen,
Mumbai Indians,Deccan Chargers,260,2011,Hyderabad,4/24/2011,Deccan Chargers,field,normal,0,Mumbai Indians,37,0,SL Malinga,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,AL Hill,
Kochi Tuskers Kerala,Rajasthan Royals,261,2011,Jaipur,4/24/2011,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,8,SK Warne,Sawai Mansingh Stadium,BR Doctrove,SK Tarapore,
Chennai Super Kings,Pune Warriors,262,2011,Chennai,4/25/2011,Pune Warriors,field,normal,0,Chennai Super Kings,25,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Aleem Dar,RB Tiffin,
Delhi Daredevils,Royal Challengers Bangalore,263,2011,Delhi,4/26/2011,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,3,V Kohli,Feroz Shah Kotla,S Asnani,RJ Tucker,
Pune Warriors,Chennai Super Kings,264,2011,Mumbai,4/27/2011,Pune Warriors,bat,normal,0,Chennai Super Kings,0,8,DE Bollinger,Dr DY Patil Sports Academy,Asad Rauf,SL Shastri,
Deccan Chargers,Kochi Tuskers Kerala,265,2011,Kochi,4/27/2011,Kochi Tuskers Kerala,field,normal,0,Deccan Chargers,55,0,I Sharma,Nehru Stadium,HDPK Dharmasena,AL Hill,
Kolkata Knight Riders,Delhi Daredevils,266,2011,Delhi,4/28/2011,Delhi Daredevils,field,normal,0,Kolkata Knight Riders,17,0,MK Tiwary,Feroz Shah Kotla,PR Reiffel,RJ Tucker,
Mumbai Indians,Rajasthan Royals,267,2011,Jaipur,4/29/2011,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,J Botha,Sawai Mansingh Stadium,Asad Rauf,SK Tarapore,
Royal Challengers Bangalore,Pune Warriors,268,2011,Bangalore,4/29/2011,Pune Warriors,field,normal,0,Royal Challengers Bangalore,26,0,V Kohli,M Chinnaswamy Stadium,Aleem Dar,SS Hazare,
Delhi Daredevils,Kochi Tuskers Kerala,269,2011,Kochi,4/30/2011,Delhi Daredevils,bat,normal,0,Delhi Daredevils,38,0,V Sehwag,Nehru Stadium,HDPK Dharmasena,AL Hill,
Kings XI Punjab,Kolkata Knight Riders,270,2011,Kolkata,4/30/2011,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,Iqbal Abdulla,Eden Gardens,AM Saheba,SL Shastri,
Pune Warriors,Rajasthan Royals,271,2011,Jaipur,5/1/2011,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,LRPL Taylor,Sawai Mansingh Stadium,SK Tarapore,SJA Taufel,
Chennai Super Kings,Deccan Chargers,272,2011,Chennai,5/1/2011,Chennai Super Kings,bat,normal,0,Chennai Super Kings,19,0,JA Morkel,"MA Chidambaram Stadium, Chepauk",Aleem Dar,RB Tiffin,
Mumbai Indians,Kings XI Punjab,273,2011,Mumbai,5/2/2011,Kings XI Punjab,field,normal,0,Mumbai Indians,23,0,KA Pollard,Wankhede Stadium,HDPK Dharmasena,PR Reiffel,
Delhi Daredevils,Kochi Tuskers Kerala,274,2011,Delhi,5/2/2011,Kochi Tuskers Kerala,field,normal,0,Kochi Tuskers Kerala,0,7,P Parameswaran,Feroz Shah Kotla,Asad Rauf,SL Shastri,
Kolkata Knight Riders,Deccan Chargers,275,2011,Hyderabad,5/3/2011,Deccan Chargers,field,normal,0,Kolkata Knight Riders,20,0,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",S Asnani,RJ Tucker,
Rajasthan Royals,Chennai Super Kings,276,2011,Chennai,5/4/2011,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,8,MEK Hussey,"MA Chidambaram Stadium, Chepauk",SS Hazare,RB Tiffin,
Mumbai Indians,Pune Warriors,277,2011,Mumbai,5/4/2011,Pune Warriors,field,normal,0,Mumbai Indians,21,0,R Sharma,Dr DY Patil Sports Academy,HDPK Dharmasena,SJA Taufel,
Kochi Tuskers Kerala,Kolkata Knight Riders,278,2011,Kochi,5/5/2011,Kolkata Knight Riders,field,normal,0,Kochi Tuskers Kerala,17,0,BJ Hodge,Nehru Stadium,S Ravi,RJ Tucker,
Deccan Chargers,Delhi Daredevils,279,2011,Hyderabad,5/5/2011,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,4,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AM Saheba,
Royal Challengers Bangalore,Kings XI Punjab,280,2011,Bangalore,5/6/2011,Kings XI Punjab,field,normal,0,Royal Challengers Bangalore,85,0,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,RB Tiffin,
Chennai Super Kings,Kolkata Knight Riders,281,2011,Kolkata,5/7/2011,Chennai Super Kings,bat,normal,1,Kolkata Knight Riders,10,0,Iqbal Abdulla,Eden Gardens,Asad Rauf,PR Reiffel,
Mumbai Indians,Delhi Daredevils,282,2011,Mumbai,5/7/2011,Delhi Daredevils,field,normal,0,Mumbai Indians,32,0,AT Rayudu,Wankhede Stadium,K Hariharan,SJA Taufel,
Kochi Tuskers Kerala,Royal Challengers Bangalore,283,2011,Bangalore,5/8/2011,Kochi Tuskers Kerala,bat,normal,0,Royal Challengers Bangalore,0,9,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,SS Hazare,
Kings XI Punjab,Pune Warriors,284,2011,Chandigarh,5/8/2011,Kings XI Punjab,bat,normal,0,Pune Warriors,0,5,R Sharma,"Punjab Cricket Association Stadium, Mohali",SK Tarapore,RJ Tucker,
Chennai Super Kings,Rajasthan Royals,285,2011,Jaipur,5/9/2011,Rajasthan Royals,field,normal,0,Chennai Super Kings,63,0,M Vijay,Sawai Mansingh Stadium,K Hariharan,SJA Taufel,
Deccan Chargers,Pune Warriors,286,2011,Hyderabad,5/10/2011,Deccan Chargers,bat,normal,0,Pune Warriors,0,6,MR Marsh,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AM Saheba,
Kings XI Punjab,Mumbai Indians,287,2011,Chandigarh,5/10/2011,Mumbai Indians,field,normal,0,Kings XI Punjab,76,0,BA Bhatt,"Punjab Cricket Association Stadium, Mohali",SK Tarapore,RJ Tucker,
Rajasthan Royals,Royal Challengers Bangalore,288,2011,Jaipur,5/11/2011,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,9,S Aravind,Sawai Mansingh Stadium,HDPK Dharmasena,K Hariharan,
Chennai Super Kings,Delhi Daredevils,289,2011,Chennai,5/12/2011,Chennai Super Kings,bat,normal,0,Chennai Super Kings,18,0,MS Dhoni,"MA Chidambaram Stadium, Chepauk",AM Saheba,SL Shastri,
Kochi Tuskers Kerala,Kings XI Punjab,290,2011,Indore,5/13/2011,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,KD Karthik,Holkar Cricket Stadium,S Asnani,RJ Tucker,
Kolkata Knight Riders,Royal Challengers Bangalore,291,2011,Bangalore,5/14/2011,Royal Challengers Bangalore,field,normal,1,Royal Challengers Bangalore,0,4,CH Gayle,M Chinnaswamy Stadium,RE Koertzen,RB Tiffin,
Deccan Chargers,Mumbai Indians,292,2011,Mumbai,5/14/2011,Deccan Chargers,bat,normal,0,Deccan Chargers,10,0,A Mishra,Wankhede Stadium,S Ravi,SK Tarapore,
Kings XI Punjab,Delhi Daredevils,293,2011,Dharamsala,5/15/2011,Delhi Daredevils,field,normal,0,Kings XI Punjab,29,0,PP Chawla,Himachal Pradesh Cricket Association Stadium,Asad Rauf,SL Shastri,
Rajasthan Royals,Kochi Tuskers Kerala,294,2011,Indore,5/15/2011,Kochi Tuskers Kerala,field,normal,0,Kochi Tuskers Kerala,0,8,BJ Hodge,Holkar Cricket Stadium,PR Reiffel,RJ Tucker,
Pune Warriors,Deccan Chargers,295,2011,Mumbai,5/16/2011,Deccan Chargers,field,normal,0,Deccan Chargers,0,6,A Mishra,Dr DY Patil Sports Academy,S Ravi,SK Tarapore,
Kings XI Punjab,Royal Challengers Bangalore,296,2011,Dharamsala,5/17/2011,Kings XI Punjab,bat,normal,0,Kings XI Punjab,111,0,AC Gilchrist,Himachal Pradesh Cricket Association Stadium,Asad Rauf,AM Saheba,
Chennai Super Kings,Kochi Tuskers Kerala,297,2011,Chennai,5/18/2011,Chennai Super Kings,bat,normal,0,Chennai Super Kings,11,0,WP Saha,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,RE Koertzen,
Pune Warriors,Kolkata Knight Riders,298,2011,Mumbai,5/19/2011,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,YK Pathan,Dr DY Patil Sports Academy,S Ravi,SJA Taufel,
Mumbai Indians,Rajasthan Royals,299,2011,Mumbai,5/20/2011,Mumbai Indians,bat,normal,0,Rajasthan Royals,0,10,SR Watson,Wankhede Stadium,RE Koertzen,PR Reiffel,
Deccan Chargers,Kings XI Punjab,300,2011,Dharamsala,5/21/2011,Kings XI Punjab,field,normal,0,Deccan Chargers,82,0,S Dhawan,Himachal Pradesh Cricket Association Stadium,Asad Rauf,AM Saheba,
Delhi Daredevils,Pune Warriors,301,2011,Delhi,5/21/2011,Delhi Daredevils,bat,no result,0,,0,0,,Feroz Shah Kotla,SS Hazare,RJ Tucker,
